code;pairCode;name;shortDescription;description;supplier;defaultCategory;categoryText;categoryText2;categoryText3;categoryText4;categoryText5;categoryText6;categoryText7;categoryText8;categoryText9;price;freeShipping;freeBilling;variant:Dĺžka;variant:Farba;variant:Veľkosť;variantVisibility;productVisibility
49396/FIA;1;Linteo box vreckoviek;"<p>LINTEO SATIN Papierové vreckovky BOX 200ks, biele, 2-vrstvové.</p>
<p>Jemné biele dvojvrstvové papierové vreckovky Linteo Satin vám zaručí vysokú jemnosť, mäkkosť a pevnosť.</p>";"<p>Jemné biele dvojvrstvové papierové vreckovky Linteo Satin vám zaručí vysokú jemnosť, mäkkosť a pevnosť.</p>
<p>Tieto papierové vreckovky sú vyrobené zo 100% celulózy a v kartóne sú namiešané krabičky v dvoch farbách ružová a šedo / biela. NOVINKA - zmena šedo / biele krabičky na zelenú.</p>
<p>V krabičke, ktorá je zdobená moderným motívom, je 200ks.</p>
<ul>
<li>výrobky Linteo Satin sú jemné a vhodné pre vás aj pre vaše malé deti</li>
<li>produkty z radu Linteo Satin vynikajú svojou pevnosťou pri akomkoľvek použití</li>
<li>výrobky v rade Satin sú určené pre zákazníka, ktorý očakáva kvalitu a príjemnú cenu</li>
<li>výroba produktov Satin spĺňa všetky legislatívne nároky a podlieha prísnym testom</li>
<li>zloženia výrobkov (látky a ingrediencie) je účinné a zároveň šetrné ku všetkým typom pokožky</li>
</ul>";NEW;Do domácnosti > Do kuchyně;Do domácnosti > Do kuchyně;Do domácnosti > Do obýváku;Do domácnosti > Postele;;;;;;;2.00;0;0;;Fialová;;1;visible
49396/ZEL;1;Linteo box vreckoviek;"<p>LINTEO SATIN Papierové vreckovky BOX 200ks, biele, 2-vrstvové.</p>
<p>Jemné biele dvojvrstvové papierové vreckovky Linteo Satin vám zaručí vysokú jemnosť, mäkkosť a pevnosť.</p>";"<p>Jemné biele dvojvrstvové papierové vreckovky Linteo Satin vám zaručí vysokú jemnosť, mäkkosť a pevnosť.</p>
<p>Tieto papierové vreckovky sú vyrobené zo 100% celulózy a v kartóne sú namiešané krabičky v dvoch farbách ružová a šedo / biela. NOVINKA - zmena šedo / biele krabičky na zelenú.</p>
<p>V krabičke, ktorá je zdobená moderným motívom, je 200ks.</p>
<ul>
<li>výrobky Linteo Satin sú jemné a vhodné pre vás aj pre vaše malé deti</li>
<li>produkty z radu Linteo Satin vynikajú svojou pevnosťou pri akomkoľvek použití</li>
<li>výrobky v rade Satin sú určené pre zákazníka, ktorý očakáva kvalitu a príjemnú cenu</li>
<li>výroba produktov Satin spĺňa všetky legislatívne nároky a podlieha prísnym testom</li>
<li>zloženia výrobkov (látky a ingrediencie) je účinné a zároveň šetrné ku všetkým typom pokožky</li>
</ul>";NEW;Do domácnosti > Do kuchyně;Do domácnosti > Do kuchyně;Do domácnosti > Do obýváku;Do domácnosti > Postele;;;;;;;2.00;1;1;;Zelená;;1;visible
DS99987699;;Vankúš disketa;<p>Štýlový doplnok, ktorý nielenže zaujme svojím elegantným vzhľadom, ale aj svojou praktickosťou pri každodennom používaní.</p>;<p>Tento retro povlak na vankúš iste ocenia milovníci starých dobrých časov. Všetci určite radi zaspomíname na ten čas, keď disketa pre nás bola veľkým zázrakom :)</p>;DS;Do domácnosti > Do obýváku;Módne doplnky > Hodinky;Módne doplnky > Okuliare;Módne doplnky > Topánky;Do domácnosti > Do obýváku;;;;;;9.00;0;0;;;;;visible
DS99987700;;Puzdro na kontaktné šošovky - sova;<p>Štýlový doplnok, ktorý nielenže zaujme svojím elegantným vzhľadom, ale aj svojou praktickosťou pri každodennom používaní.</p>;<p>Máte často obavy o svoje kontaktné šošovky, za ktoré ste vydali nemalé peniaze, a chcete sa týchto obáv zbaviť? Máme tu pre vás malé a šikovné riešenie. Roztomilé puzdro na kontaktné šošovky v tvare malej sovy je praktickým pomocníkom každému, kto nosí kontaktné šošovky a dáva si veľký pozor, aby boli chránené a nezničili sa, keď ich práve nenosí. Puzdro je možné použiť na tvrdé i na jemné šošovky. Je určené pre chemickú dezinfekciu, a vďaka tomu je zaistená okrem ochrany šošoviek tiež ich bezpečnosť. Malý rozmer dovoľuje zobrať si puzdro kamkoľvek so sebou, jednoducho sa vojde aj do tej najmenšej kabelky alebo do vrecka. O kontaktné šošovky nebolo nikdy lepšie postarané.</p>;DS;Do domácnosti > Do koupelny;Do domácnosti > Do koupelny;;;;;;;;;5.00;0;0;;;;;visible
DS99987701;;Toaletná taška - Dokonalý gentleman;<p>Štýlový doplnok, ktorý nielenže zaujme svojím elegantným vzhľadom, ale aj svojou praktickosťou pri každodennom používaní.</p>;<p>Takúto toaletné tašku by Vám závidel hocijaký britský gentleman z viktoriánskeho obdobia. Univerzálny čierno-biele prevedenie sa bude hodiť ku všetkému, vďaka potiahnutie PVC sa neušpiní, na prednej strane sú vyobrazené okrem iného parfum, štetka na holenie a britva, ktoré Vás v myšlienkach prenesú do salónov, v ktorých si nechávali upraviť svoj vous praví džentlmeni a zips uchráni všetky Vaše toaletné potreby.</p>;DS;Do domácnosti > Do koupelny;Do domácnosti > Do koupelny;;;;;;;;;31.00;0;0;;;;;visible
AP48/38;2;Tričko s nápisom;;;AP;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Pánske oblečenie > XXL;Oblečenie > Dámske oblečenie > S;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;Oblečenie > Pánske oblečenie > S > Špeciálna veľkosť;200.00;0;0;;;38;1;visible
AP48/39;2;Tričko s nápisom;;;AP;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Pánske oblečenie > XXL;Oblečenie > Dámske oblečenie > S;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;Oblečenie > Pánske oblečenie > S > Špeciálna veľkosť;200.00;0;0;;;39;0;visible
AP48/40;2;Tričko s nápisom;;;AP;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Pánske oblečenie > XXL;Oblečenie > Dámske oblečenie > S;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;Oblečenie > Pánske oblečenie > S > Špeciálna veľkosť;200.00;0;0;;;40;1;visible
AP48/41;2;Tričko s nápisom;;;AP;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Pánske oblečenie > XXL;Oblečenie > Dámske oblečenie > S;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;Oblečenie > Pánske oblečenie > S > Špeciálna veľkosť;200.00;0;0;;;41;0;visible
AP48/42;2;Tričko s nápisom;;;AP;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > M;Oblečenie > Pánske oblečenie > L;Oblečenie > Pánske oblečenie > XL;Oblečenie > Pánske oblečenie > XXL;Oblečenie > Dámske oblečenie > S;Oblečenie > Dámske oblečenie > M;Oblečenie > Dámske oblečenie > L;Oblečenie > Dámske oblečenie > XL;Oblečenie > Pánske oblečenie > S > Špeciálna veľkosť;200.00;0;0;;;42;0;visible
